year,published_date,short_id,short_title,short_channel,short_url,source_video_id,source_video_url,detection_method,found_in_html,found_in_description,json_saved,status
2025,2025-03-12 16:19:46+00:00,ZW0Linfanpk,LA LINFA DI BETULLA L’HAI ANCORA PROVATA??? È buonissima e fa bene perchè ti depura 🌱⚡️⚡️,Davide Zambelli,https://www.youtube.com/shorts/ZW0Linfanpk,,,not_found,False,False,True,no_source
2025,2025-09-22 19:15:02+00:00,Y5j4lazJzzo,Come fai a fischiare? #perte #adrianomoretti #commedia #foryou #shortsviral,Adriano Moretti,https://www.youtube.com/shorts/Y5j4lazJzzo,,,not_found,False,False,True,no_source
2026,2026-02-27 14:16:42+00:00,eNU5FcmEwTc,ChatGPT non ha aiutato...,Camihawke,https://www.youtube.com/shorts/eNU5FcmEwTc,,,not_found,False,False,True,no_source
2026,2026-02-25 13:11:01+00:00,3dUWv3HTS60,Quante palle ci sono in questa piscina? 🔵🔴🟡🟢 🤙🏻Verifichiamo #bellagianda,Bella Gianda Official,https://www.youtube.com/shorts/3dUWv3HTS60,,,not_found,False,False,True,no_source
2025,2025-09-23 11:01:33+00:00,b4t6fdYh8ak,Fatemi sapere se lo proverete 🤣🤣 #makeup #sephora #makeuptutorial,Christian Manzoni,https://www.youtube.com/shorts/b4t6fdYh8ak,,,not_found,False,False,True,no_source
2026,2026-02-22 17:00:39+00:00,yJjNhBzE650,Tecnica Giapponese,Il Matricomio,https://www.youtube.com/shorts/yJjNhBzE650,,,not_found,False,False,True,no_source
2026,2026-02-25 15:25:00+00:00,tDNOWjlhzXw,BELLISSIMAAAAA è di Demellier #gifted #unboxing #novità #borsa,Smibie Channel,https://www.youtube.com/shorts/tDNOWjlhzXw,,,not_found,False,False,True,no_source
2025,2025-06-16 11:40:44+00:00,o_-6ecCQsuY,AVERE I TIFOSI NELLA VITA DI TUTTI I GIORNI 🗣 - Parodia,Gli Autogol,https://www.youtube.com/shorts/o_-6ecCQsuY,,,not_found,False,False,True,no_source
2025,2025-12-14 13:25:47+00:00,88weCh62SeU,Fotocamera polaroid a 16€ da Action 😍 #action #actionfinds #haul #present #giocattoli #momlife,Alessandra Spadina,https://www.youtube.com/shorts/88weCh62SeU,,,not_found,False,False,True,no_source
2025,2025-01-27 17:01:37+00:00,0hgWo0WO04Y,CALENDARIO SAN VALENTINO LANCÔME 🌹,The Lady,https://www.youtube.com/shorts/0hgWo0WO04Y,,,not_found,False,False,True,no_source
2025,2025-06-20 10:00:45+00:00,O2i8P8VaB3U,COTOLETTA DI MELANZANE| Cotto al Dente,Cotto al Dente,https://www.youtube.com/shorts/O2i8P8VaB3U,,,not_found,False,False,True,no_source
2025,2025-11-20 12:05:23+00:00,S-D7h6EpSJY,AIUTOOO #makeup #comedy #makeuptips,Christian Manzoni,https://www.youtube.com/shorts/S-D7h6EpSJY,,,not_found,False,False,True,no_source
2026,2026-01-22 12:02:14+00:00,CkFJnpIINjI,in qualche modo ne percepiamo 20 in più,Sara La Rusca,https://www.youtube.com/shorts/CkFJnpIINjI,,,not_found,False,False,True,no_source
2025,2025-09-15 16:00:23+00:00,m1np3hp3wCA,L’articolo 19 della Costituzione è fondamentale e ci riguarda tutti,Raissa & Momo,https://www.youtube.com/shorts/m1np3hp3wCA,,,not_found,False,False,True,no_source
2025,2025-06-01 13:30:02+00:00,mKjQ165HH0M,NOOOOO😭😭,roccotnl,https://www.youtube.com/shorts/mKjQ165HH0M,,,not_found,False,False,True,no_source
2026,2026-01-26 17:17:42+00:00,PSQmX3tPifQ,Nuovo video online 🤸🏼‍♀️🛼💜 #pilates #reformer #reformeronthemat,fitgreta,https://www.youtube.com/shorts/PSQmX3tPifQ,,,not_found,False,False,True,no_source
2025,2025-01-22 13:00:39+00:00,SSE3NT3h4IA,Try Not to Laugh Challenge 175 🤣 #shorts #funny #viral,Daniele Doesn't Matter,https://www.youtube.com/shorts/SSE3NT3h4IA,,,not_found,False,False,True,no_source
2026,2026-02-02 12:13:03+00:00,bo978Itfkj4,Ho una famiglia dove la solidarietà e l’astenersi dall’essere cattivi sono principi fondamentali 💖,Alessandra Spadina,https://www.youtube.com/shorts/bo978Itfkj4,,,not_found,False,False,True,no_source
2025,2025-10-29 13:00:17+00:00,4HKCLYTr15M,La Commentanza 048 🤣 #shorts #funny #viral,Daniele Doesn't Matter,https://www.youtube.com/shorts/4HKCLYTr15M,,,not_found,False,False,True,no_source
2025,2025-08-16 07:32:52+00:00,ERt80jr2-C4,il CAPITANO TUCKER interpretato da Jai Courtney in #dangerousanimals #mrmarra #podcast #ad,Mr. Marra,https://www.youtube.com/shorts/ERt80jr2-C4,,,not_found,False,False,True,no_source
2025,2025-08-31 15:48:13+00:00,X2PNQZI6TZY,Mamma miaaa😭👀,ISABO,https://www.youtube.com/shorts/X2PNQZI6TZY,,,not_found,False,False,True,no_source
2025,2025-04-25 11:21:23+00:00,u2NXk6Qo-ww,È stato ICONico portare #tonyeffe ad #Onlyfun sul @NOVE9,THOMAS BASILICO,https://www.youtube.com/shorts/u2NXk6Qo-ww,,,not_found,False,False,True,no_source
2025,2025-01-11 15:00:19+00:00,Czwlro21M70,AIUTATEMI DEVO SAPERLO!!,Debora Fulli,https://www.youtube.com/shorts/Czwlro21M70,,,not_found,False,False,True,no_source
2025,2025-02-25 12:01:50+00:00,rFdFV8pb5mw,Medea #liceo #libri #scuola #thekolors #stash #grecia #euripide #sanremo #sanremo2025 #cover,Contenuti Zero,https://www.youtube.com/shorts/rFdFV8pb5mw,,,not_found,False,False,True,no_source
2026,2026-02-11 13:01:32+00:00,jwMQA37Ztj8,La Commentanza 080 🤣 #shorts #funny #viral,Daniele Doesn't Matter,https://www.youtube.com/shorts/jwMQA37Ztj8,,,not_found,False,False,True,no_source
2026,2026-02-06 13:17:44+00:00,7hz4KD2W7_8,Se Fabrizio Corona fosse stato Lady Whistledown,Valentina Barbieri,https://www.youtube.com/shorts/7hz4KD2W7_8,,,not_found,False,False,True,no_source
