window_id,window_label,window_index,window_start,window_end,window_total_days,posts_in_window,recency_low_threshold,recency_high_threshold,recency_low_rule,recency_mid_rule,recency_high_rule,frequency_low_rule,frequency_mid_rule,frequency_high_rule,engagement_low_rule,engagement_mid_rule,engagement_high_rule
w01,2023-01 to 2023-04,1,2023-01-01,2023-04-30,120,57,9.0,30.0,Low if recency <= 9.00,Medium if 9.00 < recency <= 30.00,High if recency > 30.00,Low if frequency = 1,Medium if frequency = 2,High if frequency >= 3,Low if engagement < 5,Medium if 5 <= engagement < 11,High if engagement >= 11
w02,2023-02 to 2023-05,2,2023-02-01,2023-05-31,120,56,9.0,23.0,Low if recency <= 9.00,Medium if 9.00 < recency <= 23.00,High if recency > 23.00,Low if frequency = 1,Medium if frequency = 2,High if frequency >= 3,Low if engagement < 5,Medium if 5 <= engagement < 11,High if engagement >= 11
w03,2023-03 to 2023-06,3,2023-03-01,2023-06-30,122,51,10.0,22.0,Low if recency <= 10.00,Medium if 10.00 < recency <= 22.00,High if recency > 22.00,Low if frequency = 1,Medium if frequency = 2,High if frequency >= 3,Low if engagement < 5,Medium if 5 <= engagement < 11,High if engagement >= 11
w04,2023-04 to 2023-07,4,2023-04-01,2023-07-31,122,52,6.0,28.0,Low if recency <= 6.00,Medium if 6.00 < recency <= 28.00,High if recency > 28.00,Low if frequency = 1,Medium if frequency = 2,High if frequency >= 3,Low if engagement < 5,Medium if 5 <= engagement < 11,High if engagement >= 11
w05,2023-05 to 2023-08,5,2023-05-01,2023-08-31,123,58,17.0,37.0,Low if recency <= 17.00,Medium if 17.00 < recency <= 37.00,High if recency > 37.00,Low if frequency = 1,Medium if frequency = 2,High if frequency >= 3,Low if engagement < 5,Medium if 5 <= engagement < 11,High if engagement >= 11
w06,2023-06 to 2023-09,6,2023-06-01,2023-09-30,122,53,10.0,32.0,Low if recency <= 10.00,Medium if 10.00 < recency <= 32.00,High if recency > 32.00,Low if frequency = 1,Medium if frequency = 2,High if frequency >= 3,Low if engagement < 5,Medium if 5 <= engagement < 11,High if engagement >= 11
w07,2023-07 to 2023-10,7,2023-07-01,2023-10-31,123,55,21.0,40.0,Low if recency <= 21.00,Medium if 21.00 < recency <= 40.00,High if recency > 40.00,Low if frequency = 1,Medium if frequency = 2,High if frequency >= 3,Low if engagement < 5,Medium if 5 <= engagement < 11,High if engagement >= 11
w08,2023-08 to 2023-11,8,2023-08-01,2023-11-30,122,48,18.0,29.0,Low if recency <= 18.00,Medium if 18.00 < recency <= 29.00,High if recency > 29.00,Low if frequency = 1,Medium if frequency = 2,High if frequency >= 3,Low if engagement < 5,Medium if 5 <= engagement < 11,High if engagement >= 11
w09,2023-09 to 2023-12,9,2023-09-01,2023-12-31,122,38,8.0,26.0,Low if recency <= 8.00,Medium if 8.00 < recency <= 26.00,High if recency > 26.00,Low if frequency = 1,Medium if frequency = 2,High if frequency >= 3,Low if engagement < 5,Medium if 5 <= engagement < 11,High if engagement >= 11
w10,2023-10 to 2024-01,10,2023-10-01,2024-01-31,123,39,9.0,22.0,Low if recency <= 9.00,Medium if 9.00 < recency <= 22.00,High if recency > 22.00,Low if frequency = 1,Medium if frequency = 2,High if frequency >= 3,Low if engagement < 5,Medium if 5 <= engagement < 11,High if engagement >= 11
w11,2023-11 to 2024-02,11,2023-11-01,2024-02-29,121,37,10.0,23.0,Low if recency <= 10.00,Medium if 10.00 < recency <= 23.00,High if recency > 23.00,Low if frequency = 1,Medium if frequency = 2,High if frequency >= 3,Low if engagement < 5,Medium if 5 <= engagement < 11,High if engagement >= 11
w12,2023-12 to 2024-03,12,2023-12-01,2024-03-31,122,39,12.0,29.0,Low if recency <= 12.00,Medium if 12.00 < recency <= 29.00,High if recency > 29.00,Low if frequency = 1,Medium if frequency = 2,High if frequency >= 3,Low if engagement < 5,Medium if 5 <= engagement < 11,High if engagement >= 11
w13,2024-01 to 2024-04,13,2024-01-01,2024-04-30,121,41,4.0,19.0,Low if recency <= 4.00,Medium if 4.00 < recency <= 19.00,High if recency > 19.00,Low if frequency = 1,Medium if frequency = 2,High if frequency >= 3,Low if engagement < 5,Medium if 5 <= engagement < 11,High if engagement >= 11
w14,2024-02 to 2024-05,14,2024-02-01,2024-05-31,121,46,16.0,22.0,Low if recency <= 16.00,Medium if 16.00 < recency <= 22.00,High if recency > 22.00,Low if frequency = 1,Medium if frequency = 2,High if frequency >= 3,Low if engagement < 5,Medium if 5 <= engagement < 11,High if engagement >= 11
w15,2024-03 to 2024-06,15,2024-03-01,2024-06-30,122,49,16.0,32.0,Low if recency <= 16.00,Medium if 16.00 < recency <= 32.00,High if recency > 32.00,Low if frequency = 1,Medium if frequency = 2,High if frequency >= 3,Low if engagement < 5,Medium if 5 <= engagement < 11,High if engagement >= 11
w16,2024-04 to 2024-07,16,2024-04-01,2024-07-31,122,50,9.0,36.0,Low if recency <= 9.00,Medium if 9.00 < recency <= 36.00,High if recency > 36.00,Low if frequency = 1,Medium if frequency = 2,High if frequency >= 3,Low if engagement < 5,Medium if 5 <= engagement < 11,High if engagement >= 11
w17,2024-05 to 2024-08,17,2024-05-01,2024-08-31,123,50,13.0,27.0,Low if recency <= 13.00,Medium if 13.00 < recency <= 27.00,High if recency > 27.00,Low if frequency = 1,Medium if frequency = 2,High if frequency >= 3,Low if engagement < 5,Medium if 5 <= engagement < 11,High if engagement >= 11
w18,2024-06 to 2024-09,18,2024-06-01,2024-09-30,122,46,18.0,27.0,Low if recency <= 18.00,Medium if 18.00 < recency <= 27.00,High if recency > 27.00,Low if frequency = 1,Medium if frequency = 2,High if frequency >= 3,Low if engagement < 5,Medium if 5 <= engagement < 11,High if engagement >= 11
w19,2024-07 to 2024-10,19,2024-07-01,2024-10-31,123,43,13.0,32.0,Low if recency <= 13.00,Medium if 13.00 < recency <= 32.00,High if recency > 32.00,Low if frequency = 1,Medium if frequency = 2,High if frequency >= 3,Low if engagement < 5,Medium if 5 <= engagement < 11,High if engagement >= 11
w20,2024-08 to 2024-11,20,2024-08-01,2024-11-30,122,40,12.0,23.0,Low if recency <= 12.00,Medium if 12.00 < recency <= 23.00,High if recency > 23.00,Low if frequency = 1,Medium if frequency = 2,High if frequency >= 3,Low if engagement < 5,Medium if 5 <= engagement < 11,High if engagement >= 11
w21,2024-09 to 2024-12,21,2024-09-01,2024-12-31,122,37,13.0,24.0,Low if recency <= 13.00,Medium if 13.00 < recency <= 24.00,High if recency > 24.00,Low if frequency = 1,Medium if frequency = 2,High if frequency >= 3,Low if engagement < 5,Medium if 5 <= engagement < 11,High if engagement >= 11
w22,2024-10 to 2025-01,22,2024-10-01,2025-01-31,123,35,11.0,24.0,Low if recency <= 11.00,Medium if 11.00 < recency <= 24.00,High if recency > 24.00,Low if frequency = 1,Medium if frequency = 2,High if frequency >= 3,Low if engagement < 5,Medium if 5 <= engagement < 11,High if engagement >= 11
w23,2024-11 to 2025-02,23,2024-11-01,2025-02-28,120,37,15.0,24.0,Low if recency <= 15.00,Medium if 15.00 < recency <= 24.00,High if recency > 24.00,Low if frequency = 1,Medium if frequency = 2,High if frequency >= 3,Low if engagement < 5,Medium if 5 <= engagement < 11,High if engagement >= 11
w24,2024-12 to 2025-03,24,2024-12-01,2025-03-31,121,41,10.0,31.0,Low if recency <= 10.00,Medium if 10.00 < recency <= 31.00,High if recency > 31.00,Low if frequency = 1,Medium if frequency = 2,High if frequency >= 3,Low if engagement < 5,Medium if 5 <= engagement < 11,High if engagement >= 11
w25,2025-01 to 2025-04,25,2025-01-01,2025-04-30,120,44,9.0,25.0,Low if recency <= 9.00,Medium if 9.00 < recency <= 25.00,High if recency > 25.00,Low if frequency = 1,Medium if frequency = 2,High if frequency >= 3,Low if engagement < 5,Medium if 5 <= engagement < 11,High if engagement >= 11
w26,2025-02 to 2025-05,26,2025-02-01,2025-05-31,120,49,12.0,23.0,Low if recency <= 12.00,Medium if 12.00 < recency <= 23.00,High if recency > 23.00,Low if frequency = 1,Medium if frequency = 2,High if frequency >= 3,Low if engagement < 5,Medium if 5 <= engagement < 11,High if engagement >= 11
w27,2025-03 to 2025-06,27,2025-03-01,2025-06-30,122,49,4.0,25.0,Low if recency <= 4.00,Medium if 4.00 < recency <= 25.00,High if recency > 25.00,Low if frequency = 1,Medium if frequency = 2,High if frequency >= 3,Low if engagement < 5,Medium if 5 <= engagement < 11,High if engagement >= 11
w28,2025-04 to 2025-07,28,2025-04-01,2025-07-31,122,51,12.0,25.0,Low if recency <= 12.00,Medium if 12.00 < recency <= 25.00,High if recency > 25.00,Low if frequency = 1,Medium if frequency = 2,High if frequency >= 3,Low if engagement < 5,Medium if 5 <= engagement < 11,High if engagement >= 11
w29,2025-05 to 2025-08,29,2025-05-01,2025-08-31,123,49,15.0,26.0,Low if recency <= 15.00,Medium if 15.00 < recency <= 26.00,High if recency > 26.00,Low if frequency = 1,Medium if frequency = 2,High if frequency >= 3,Low if engagement < 5,Medium if 5 <= engagement < 11,High if engagement >= 11
w30,2025-06 to 2025-09,30,2025-06-01,2025-09-30,122,44,6.0,27.0,Low if recency <= 6.00,Medium if 6.00 < recency <= 27.00,High if recency > 27.00,Low if frequency = 1,Medium if frequency = 2,High if frequency >= 3,Low if engagement < 5,Medium if 5 <= engagement < 11,High if engagement >= 11
w31,2025-07 to 2025-10,31,2025-07-01,2025-10-31,123,39,10.0,21.0,Low if recency <= 10.00,Medium if 10.00 < recency <= 21.00,High if recency > 21.00,Low if frequency = 1,Medium if frequency = 2,High if frequency >= 3,Low if engagement < 5,Medium if 5 <= engagement < 11,High if engagement >= 11
w32,2025-08 to 2025-11,32,2025-08-01,2025-11-30,122,34,9.0,19.0,Low if recency <= 9.00,Medium if 9.00 < recency <= 19.00,High if recency > 19.00,Low if frequency = 1,Medium if frequency = 2,High if frequency >= 3,Low if engagement < 5,Medium if 5 <= engagement < 11,High if engagement >= 11
w33,2025-09 to 2025-12,33,2025-09-01,2025-12-31,122,35,12.0,23.0,Low if recency <= 12.00,Medium if 12.00 < recency <= 23.00,High if recency > 23.00,Low if frequency = 1,Medium if frequency = 2,High if frequency >= 3,Low if engagement < 5,Medium if 5 <= engagement < 11,High if engagement >= 11
w34,2025-10 to 2026-01,34,2025-10-01,2026-01-31,123,44,18.0,31.0,Low if recency <= 18.00,Medium if 18.00 < recency <= 31.00,High if recency > 31.00,Low if frequency = 1,Medium if frequency = 2,High if frequency >= 3,Low if engagement < 5,Medium if 5 <= engagement < 11,High if engagement >= 11
w35,2025-11 to 2026-02,35,2025-11-01,2026-02-28,120,52,14.0,36.0,Low if recency <= 14.00,Medium if 14.00 < recency <= 36.00,High if recency > 36.00,Low if frequency = 1,Medium if frequency = 2,High if frequency >= 3,Low if engagement < 5,Medium if 5 <= engagement < 11,High if engagement >= 11
w36,2025-12 to 2026-03,36,2025-12-01,2026-03-31,121,54,17.0,38.0,Low if recency <= 17.00,Medium if 17.00 < recency <= 38.00,High if recency > 38.00,Low if frequency = 1,Medium if frequency = 2,High if frequency >= 3,Low if engagement < 5,Medium if 5 <= engagement < 11,High if engagement >= 11
